"ID","Keyword","Section","Anchor","SpecLocationHref","NormativeText","ThreatAlignment","FailureIfDowngraded","WhyShouldInsufficient","VerificationMethod","ReferenceImplStatus","EvidenceNotes","TargetVersion","SourceLine"
"NORM-001","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","Principle: User actions and system changes MUST be undoable within documented recovery windows. Failures MUST NOT become irreversible harm.","","","","","N/A","","v1.0","458"
"NORM-003","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST provide undo/undo mechanism for all destructive user actions (delete, modify, publish)","","","","","N/A","","v1.0","463"
"NORM-004","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST display recovery window duration to user (e.g., ""Item will be permanently deleted in 30 days"")","","","","","N/A","","v1.0","464"
"NORM-005","MUST NOT","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT permanently delete user data without explicit confirmation + mandatory delay (minimum 7 days)","","","","","N/A","","v1.0","466"
"NORM-006","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST document which system actions are reversible and which are irreversible","","","","","N/A","","v1.0","467"
"NORM-007","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","Principle: Data MUST be collected only when essential. What is collected MUST be defended with cryptography. Data retention MUST be minimal and automatic.","State surveillance","Unbounded collection or weak protection increases breach blast radius and exposes longitudinal health patterns.","Minimization, crypto, and retention controls are baseline harm-reduction controls; optional adoption leaves predictable exploitation paths open.","Audit data schema against essential-use-case inventory, verify at-rest and in-transit encryption settings, and run retention-expiry tests on backup records.","Partial","PainTracker states essential-only collection, AES-256 at rest, TLS 1.3 in transit, and no sharing; local retention remains user-controlled and not fully automatic. To reach Met: enforce automatic local retention windows with documented override policy.","v1.0","497"
"NORM-010","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST perform data minimization audit: justify every data field collected","State surveillance","Unjustified fields enable profiling, secondary inference, and coercive data requests beyond core care needs.","Without a mandatory per-field justification process, data scope drifts over time and reviewers cannot detect over-collection early.","Require a versioned field-justification ledger and verify each schema migration includes necessity, sensitivity class, and retention bound.","Partial","Reference implementation documents essential fields but does not publish a formal per-field minimization audit artifact. To reach Met: publish a versioned field-justification ledger tied to schema migrations.","v1.0","502"
"NORM-011","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST encrypt sensitive data at rest (AES-256 minimum; ChaCha20 acceptable)","Device seizure","Lost or seized devices can reveal plaintext records, causing irreversible confidentiality loss.","At-rest encryption cannot be discretionary when threat model includes confiscation and endpoint compromise.","Attempt raw storage extraction from device backup, confirm absence of plaintext fragments via strings/grep scan, verify key-derivation method and parameters, and confirm keys are not persisted in plaintext config files or logs.","Met","PainTracker reports AES-256 GCM storage encryption and audit test confirms exported database is unreadable without decryption key.","v1.0","503"
"NORM-012","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST use TLS 1.3+ for all data in transit; TLS 1.2 acceptable with strong ciphersuites only","Network tampering","Transport interception permits content disclosure, manipulation, or downgrade attacks during sync/backup.","Weak transport guarantees collapse confidentiality in transit even if local storage is encrypted.","Probe endpoints with TLS tooling to confirm TLS 1.3 preference, reject weak suites, and validate downgrade resistance in handshake behavior.","Met","Reference mapping states TLS 1.3 for all communication and includes an OpenSSL verification checkpoint for cipher and downgrade posture.","v1.0","504"
"NORM-013","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST define explicit retention policy for every data field (max age before auto-delete)","Institutional control","Undefined retention increases subpoena/disclosure exposure windows and amplifies harm from delayed compromise.","Retention limits must be enforceable defaults; guidance-only policies do not constrain operational drift.","Inspect per-field retention table, verify expiry removes logical references and blocks application-level access, confirm no documented restore path after expiry, and treat physical media destruction as out-of-scope unless explicitly guaranteed.","Partial","PainTracker specifies one-year auto-delete for server backups but keeps local entries indefinitely by user control, so not all fields have automatic minimal retention. To reach Met: define and enforce per-field local retention defaults with auditable expiry behavior.","v1.0","505"
"NORM-014","MUST NOT","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST NOT sell, share, or broker user data without explicit informed consent (opt-in, not opt-out)","Institutional control","Data sale or broker sharing enables exploitation, discrimination, and coercive profiling by third parties.","Consent and sharing boundaries are critical trust controls; optional compliance invites monetization pressure and abuse.","Review data-flow inventory, third-party processor list, network egress logs, and consent records to confirm no non-consensual sharing paths exist.","Met","Reference mapping asserts zero third-party access, no ad/analytics trackers, and no data sale pathway.","v1.0","507"
"NORM-015","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","Principle: Users MUST retain control and function locally. Systems MUST NOT require internet for essential operations.","Institutional control","Centralized dependency allows service operators or outages to block essential user workflows and deny access during crises.","Local control is a core safety property; advisory-only offline posture permits coercive lockout through platform or network control.","Run offline/airplane-mode scenario tests for all essential workflows and confirm no server call is required to read, create, edit, or delete core records.","Partial","PainTracker supports offline core workflows, but backup and some account-linked operations remain server-coupled. To reach Met: provide a fully documented no-server operating profile for all essential functions.","v1.0","537"
"NORM-017","MUST","4. Core Principles (Normative) | 4.3 Local Authority","sec4","/docs/spec/v1.0.html#sec4","MUST support offline operation for all essential user workflows","Institutional control","Users lose ability to operate during censorship, outages, or deliberate account throttling at moments when records are most needed.","Essential workflow continuity must be guaranteed under degraded connectivity; optional compliance fails under predictable network denial conditions.","Disable network at OS level and execute full essential workflow test matrix; verify success criteria without deferred hard-blocks.","Met","Reference implementation claims full offline-first behavior for create/edit/delete core entries and validates operation in airplane mode.","v1.0","542"
