"ID","Keyword","Section","Anchor","SpecLocationHref","NormativeText","ThreatAlignment","FailureIfDowngraded","WhyShouldInsufficient","VerificationMethod","ReferenceImplStatus","EvidenceNotes","TargetVersion","SourceLine"
"NORM-001","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","Principle: User actions and system changes MUST be undoable within documented recovery windows. Failures MUST NOT become irreversible harm.","Institutional control","Without bounded reversibility, accidental or coerced destructive actions become irreversible harm with no recovery path.","Reversibility is a safety invariant for vulnerable users; optional rollback guarantees fail under operational pressure.","Execute destructive-action suite and verify each action has documented recovery window, available undo path, and explicit irreversibility state after expiry.","Met","Reference implementation uses soft-delete and timed recovery windows for core entries, with documented expiry behavior.","v1.0","458"
"NORM-003","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST provide undo/undo mechanism for all destructive user actions (delete, modify, publish)","Institutional control","Users can lose critical records due to misclicks, stress, or interface confusion without practical restoration.","Undo for destructive operations cannot be advisory; absence creates immediate, irreversible consequence risk.","Test delete/modify/publish operations and confirm undo availability within the configured recovery window across online and offline states.","Met","Reference mapping includes undo recovery checkpoints for destructive operations and confirms restoration behavior during audits.","v1.0","463"
"NORM-004","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST display recovery window duration to user (e.g., ""Item will be permanently deleted in 30 days"")","State surveillance","Users cannot evaluate risk of delay-period actions and may unintentionally trigger irreversible transitions.","Recovery timing transparency is required for informed user control; hidden windows undermine protective decision-making.","Inspect UI surfaces for each destructive action to verify explicit recovery-window display and countdown consistency with backend policy.","Met","Reference mapping reports visible deletion grace period (for example, 30-day remaining indicator) before permanent purge.","v1.0","464"
"NORM-005","MUST NOT","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT permanently delete user data without explicit confirmation + mandatory delay (minimum 7 days)","Coercion / forced disclosure","Immediate hard-delete enables coercers or accidental actions to erase evidence/history before user can recover or contest.","Mandatory confirmation plus delay is the only reliable guard against high-impact destructive abuse under stress or coercion.","Attempt destructive delete flows and verify explicit confirmation plus enforced minimum delay before irreversible purge is possible.","Met","Reference behavior uses confirmation plus delayed permanent deletion with recovery period, preventing instant irreversible data loss.","v1.0","466"
"NORM-006","MUST","4. Core Principles (Normative) | 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST document which system actions are reversible and which are irreversible","Institutional control","Undocumented reversibility boundaries cause unsafe assumptions and prevent operators/reviewers from validating recovery guarantees.","Reversible/irreversible boundaries must be explicit and auditable; implicit behavior invites silent policy drift.","Review product and technical documentation to confirm every state transition is labeled reversible or irreversible with corresponding recovery conditions.","Partial","Reference mapping demonstrates key reversible flows but does not publish a complete action-by-action reversibility matrix. To reach Met: publish a versioned reversibility boundary table for all destructive transitions.","v1.0","467"
"NORM-007","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","Principle: Data MUST be collected only when essential. What is collected MUST be defended with cryptography. Data retention MUST be minimal and automatic.","State surveillance","Unbounded collection or weak protection increases breach blast radius and exposes longitudinal health patterns.","Minimization, crypto, and retention controls are baseline harm-reduction controls; optional adoption leaves predictable exploitation paths open.","Environment: Clean install. Network inspector available. Access to app storage directory (or IndexedDB dump if web). Action: (1) Enumerate all persisted fields (schema + runtime writes) by exporting a storage snapshot after exercising every essential use-case workflow once. (2) For each persisted field, map it to the essential-use-case inventory ledger entry (field -> necessity). (3) Validate encryption by extracting storage artifacts and confirming no plaintext values for sensitive fields are present at rest (string search or structured decode). (4) Validate transport: if any network sync exists, capture outbound requests and confirm TLS-only transport and no sensitive fields appear in request bodies without encryption-at-application-layer where claimed. (5) Run retention test: set retention window to minimal value (test config), create records, wait past window, then snapshot storage and confirm records are absent or cryptographically unrecoverable within application access paths. Pass Criteria: Every persisted field has a necessity mapping; no plaintext sensitive values present at rest; no sensitive values transmitted in clear; records past retention window are not accessible and do not appear in storage snapshots. Fail Criteria: Any persisted field lacks necessity justification; any sensitive value appears in plaintext at rest or in transit; retention-expired records remain accessible or persist in storage.","Partial","PainTracker states essential-only collection, AES-256 at rest, TLS 1.3 in transit, and no sharing; local retention remains user-controlled and not fully automatic. To reach Met: enforce automatic local retention windows with documented override policy.","v1.0","497"
"NORM-010","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST perform data minimization audit: justify every data field collected","State surveillance","Unjustified fields enable profiling, secondary inference, and coercive data requests beyond core care needs.","Without a mandatory per-field justification process, data scope drifts over time and reviewers cannot detect over-collection early.","Require a versioned field-justification ledger and verify each schema migration includes necessity, sensitivity class, and retention bound.","Partial","Reference implementation documents essential fields but does not publish a formal per-field minimization audit artifact. To reach Met: publish a versioned field-justification ledger tied to schema migrations.","v1.0","502"
"NORM-011","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST encrypt sensitive data at rest (AES-256 minimum; ChaCha20 acceptable)","Device seizure","Lost or seized devices can reveal plaintext records, causing irreversible confidentiality loss.","At-rest encryption cannot be discretionary when threat model includes confiscation and endpoint compromise.","Attempt raw storage extraction from device backup, confirm absence of plaintext fragments via strings/grep scan, verify key-derivation method and parameters, and confirm keys are not persisted in plaintext config files or logs.","Met","PainTracker reports AES-256 GCM storage encryption and audit test confirms exported database is unreadable without decryption key.","v1.0","503"
"NORM-012","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST use TLS 1.3+ for all data in transit; TLS 1.2 acceptable with strong ciphersuites only","Network tampering","Transport interception permits content disclosure, manipulation, or downgrade attacks during sync/backup.","Weak transport guarantees collapse confidentiality in transit even if local storage is encrypted.","Environment: A controlled test session with network visibility. Use at least one TLS scanner (e.g., testssl.sh or sslyze) plus a packet capture tool (e.g., Wireshark/tshark). If the system has no network endpoints by design, verification is a negative test (no outbound). Action: (1) Identify every network endpoint used by the product (sync, updates, telemetry, third-party APIs) by running essential workflows while capturing traffic. (2) For each endpoint, run a TLS posture scan and record: supported protocol versions, ciphers, key exchange, certificate chain, HSTS (if web), and renegotiation behavior. (3) Attempt downgrade: force TLS 1.2 and weak cipher negotiation from the client side (scanner-supported). (4) Attempt plaintext: confirm no HTTP (non-TLS) endpoints are reachable for the same host/path patterns. (5) Inspect captured traffic payloads for sensitive field names/values (string search or structured decode) to ensure no application-layer plaintext is sent where encryption-at-application-layer is claimed. Pass Criteria: All observed endpoints require TLS; no HTTP reachable equivalents. TLS 1.0/1.1 not supported; TLS 1.2 allowed only if explicitly justified; TLS 1.3 preferred. Weak ciphers/legacy key exchange rejected. Downgrade attempts fail (handshake refused or negotiation prevented). No sensitive values appear in captured request/response bodies in clear where app-layer encryption is claimed. Fail Criteria: Any endpoint allows plaintext HTTP. TLS downgrade succeeds or weak suites negotiate. Any sensitive values observed in clear contrary to the spec disclosure/crypto claims.","Met","Reference mapping states TLS 1.3 for all communication and includes an OpenSSL verification checkpoint for cipher and downgrade posture.","v1.0","504"
"NORM-013","MUST","4. Core Principles (Normative) | 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST define explicit retention policy for every data field (max age before auto-delete)","Institutional control","Undefined retention increases subpoena/disclosure exposure windows and amplifies harm from delayed compromise.","Retention limits must be enforceable defaults; guidance-only policies do not constrain operational drift.","Inspect per-field retention table, verify expiry removes logical references and blocks application-level access, confirm no documented restore path after expiry, and treat physical media destruction as out-of-scope unless explicitly guaranteed.","Partial","PainTracker specifies one-year auto-delete for server backups but keeps local entries indefinitely by user control, so not all fields have automatic minimal retention. To reach Met: define and enforce per-field local retention defaults with auditable expiry behavior.","v1.0","505"
